, etot, eang, etor, evdw, ehb, ecoul, density
199 , -574.14172853 , 4.75507875 , 7.78060375 , 101.67402838 , -0.29625345 , -16.54932044 , 1.8793802090299483
200 , -573.94197522 , 4.86547361 , 7.90367831 , 101.71929871 , -0.24803276 , -16.85950878 , 1.84937742189003
201 , -573.92062122 , 4.71590834 , 7.90202274 , 101.68353421 , -0.2678944 , -16.35484058 , 1.857125201426224
202 , -574.31689365 , 4.81991949 , 7.73276609 , 101.815183 , -0.29166266 , -17.19121926 , 1.8835633628013282
203 , -574.05146111 , 4.88242427 , 7.74492625 , 102.13020191 , -0.27067948 , -16.67811172 , 1.8349195196312789
204 , -574.0944648 , 4.8501777 , 7.96118978 , 101.9077311 , -0.27591968 , -16.56205163 , 1.8731420825991838
205 , -573.95546905 , 5.20113131 , 7.56043322 , 102.39903183 , -0.30492409 , -16.34101323 , 1.8031552230244
206 , -573.83004592 , 5.16631172 , 7.62050773 , 102.37808678 , -0.26617547 , -16.28328318 , 1.912995130873375
207 , -573.89992258 , 5.37683409 , 7.66371592 , 102.6171458 , -0.31120882 , -16.848339 , 1.83049642817889
208 , -573.92015403 , 4.75913933 , 7.99024788 , 101.64597359 , -0.2624698 , -16.15255598 , 1.8530992282717083
209 , -574.04844507 , 4.8299356 , 7.78290703 , 101.7360098 , -0.28036475 , -16.60358237 , 1.8819963982190828
210 , -573.7731496 , 5.28021071 , 7.71716371 , 102.53836495 , -0.24603297 , -16.37266226 , 1.7835897087927137
211 , -573.76783675 , 5.92242658 , 7.48724913 , 103.24210582 , -0.24051054 , -16.76258607 , 1.84819707237146
212 , -573.64381099 , 5.80876679 , 7.53014887 , 102.94767224 , -0.2008274 , -16.40299421 , 1.8283978168373134
213 , -573.86870003 , 5.27717941 , 7.60498711 , 102.49860071 , -0.25532487 , -16.7271816 , 1.838492474236632
214 , -573.70707446 , 5.24334736 , 7.53331494 , 102.62472454 , -0.27903258 , -16.97712516 , 1.7435385741438023
215 , -573.88910204 , 5.16513734 , 7.64068727 , 102.73646236 , -0.26272477 , -16.75160038 , 1.7669832438398192
216 , -573.88658578 , 4.89527419 , 7.76044924 , 102.02235703 , -0.2404233 , -16.37456541 , 1.7729066553764277
217 , -573.42709232 , 4.80524833 , 8.07672362 , 101.83059019 , -0.22650466 , -15.73993251 , 1.7558972179103582
218 , -574.16715896 , 4.6959506 , 7.80374713 , 101.7180956 , -0.28827592 , -16.49700678 , 1.8730014815880085
219 , -573.71149663 , 5.28392701 , 7.57190671 , 102.56066617 , -0.26617508 , -16.19079989 , 1.8088250466639653
220 , -573.99286026 , 4.93982871 , 7.86521432 , 101.98595113 , -0.27780189 , -16.6895181 , 1.8393860546541938
221 , -574.00265074 , 4.9563469 , 7.8534219 , 102.03797559 , -0.27520932 , -16.67517197 , 1.8461399896840298
222 , -574.00387771 , 4.95402226 , 7.85633717 , 102.02064822 , -0.27483083 , -16.66611934 , 1.846156763802601
223 , -574.19083369 , 4.90326138 , 7.65810852 , 101.90873211 , -0.28556684 , -17.11638605 , 1.8883627878496452
224 , -574.26470082 , 5.42343096 , 7.55399014 , 102.54143655 , -0.33132113 , -17.78123031 , 1.9426259172576021
225 , -574.26491403 , 5.22736513 , 7.54913183 , 102.44101118 , -0.2886345 , -17.5169843 , 1.926144612871435
226 , -574.2646948 , 5.42316692 , 7.55400158 , 102.54201592 , -0.33135456 , -17.78135109 , 1.942633705196992
227 , -573.96558313 , 5.38465937 , 7.52017277 , 102.57063671 , -0.29759315 , -16.68958377 , 1.9364216944735813
